organization,count,usgs,id
National Research Program - Central Branch,137,True,5044
New Mexico Water Science Center,20,True,472
Colorado Water Science Center,96,True,191
"Archie Carr Center for Sea Turtle Research, Department of Biology, University of Florida",3,False,12567
Southeast Ecological Science Center,137,True,566
Wetland and Aquatic Research Center,223,True,17705
Coop Res Unit Atlanta,172,True,198
Geosciences and Environmental Change Science Center,112,True,318
Crustal Geophysics and Geochemistry Science Center,75,True,211
Central Mineral and Environmental Resources Science Center,86,True,171
Federal Center,5,True,271
Pacific Islands Water Science Center,5,True,525
National Research Program - Western Branch,162,True,438
Midwest Regional Director's Office,9,True,5068
Coop Res Unit Leetown,164,True,199
University of Colorada,1,False,25291
"Istituo Nazionale de Astrofisica, Teramo, Italy",1,False,25292
Geologic Hazards Science Center,111,True,300
Northwest Regional Director's Office,9,True,5077
Western Ecological Research Center,231,True,651
Upper Midwest Environmental Sciences Center,105,True,606
"School of Natural Resources & the Environment and Udall Center for Studies in Public Policy, The University of Arizona, Tucson",5,False,17654
"Department of Ecology, Evolution, and Organismal Biology, Iowa State University",2,False,25341
"Scripps Institution of Oceanography, University of California, San Diego",3,False,17820
"School of Natural Resources & the Environment, The University of Arizona, Tucson",9,False,17653
Cooperative Research Units,2,True,205
Alaska Science Center Water,13,True,120
Alaska Science Center Biology MFEB,36,True,116
Alaska Science Center,94,True,114
Northern Prairie Wildlife Research Center,85,True,480
National Wetlands Research Center,109,True,455
Cellular Tracking Technologies,2,False,13392
Forest and Rangeland Ecosys Science Center,141,True,289
Fort Collins Science Center,194,True,291
"Dept. of Biology, University of Miami",3,False,16714
"Department of Biology, University of Miami",3,False,13532
Northeast Climate Science Center,6,True,5080
South Atlantic Water Science Center,59,True,13634
"Dept Fish, Wildlife & Cons Biol, Colorado St Univ, Fort Collins, CO",4,False,16796
Core Research Center,20,True,207
Coop Res Unit Seattle,192,True,200
National Wildlife Health Center,93,True,456
California Water Science Center,157,True,154
New England Water Science Center,33,True,466
NH/VT office of New England Water Science Center,22,True,405
National Research Program - Eastern Branch,115,True,436
"Dept of Ecology & Evolutionary Biology, Univ of California",1,False,12892
Patuxent Wildlife Research Center,178,True,531
Columbia University - Lamont Doherty Earth Observatory,3,False,7254
Michigan State University,26,False,6601
"Arkansas State University, State University, AR",2,False,13476
Great Lakes Science Center,185,True,324
Michigan DNR,4,False,6983
Great Lakes Fishery Commission,7,False,7019
Indiana University - Northwest,4,False,12645
"Univ. of Colorado, Boulder, CO",2,False,25481
Eastern Energy Resources Science Center,68,True,241
Wisconsin Water Science Center,103,True,677
St. Petersburg Coastal and Marine Science Center,128,True,574
Pennsylvania Water Science Center,25,True,532
Volcano Science Center,157,True,617
US Fish and Wildlife Service,13,False,6661
"United States Department of the Interior, United States Fish and Wildlife Service, Northeast Region, Division of Migratory Birds, Hadley, MA 01035, USA.",2,False,7131
Earth Resources Observation and Science (EROS) Center (Geography),147,True,223
"University of Illinois, Ven Te Chow Hydrosystems Laboratory",7,False,15289
"Shaw Environmental, Princeton, NJ",3,False,17721
Pacific Coastal and Marine Science Center,137,True,520
Southwest Biological Science Center,164,True,568
Office of the AD Ecosystems,9,True,506
"University of Wyoming, Renewable Resources",9,False,6656
Northern Rocky Mountain Science Center,116,True,481
Alaska Science Center Geography,15,True,118
University of Alaska Fairbanks,26,False,6752
Bureau of Land Management,9,False,7217
"Bureau of Land Management, Arctic Field Office",2,False,12934
UAF,7,False,6695
"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Potsdam, Germany",10,False,12916
Ontario Ministry of Natural Resources and Forestry,3,False,16762
University of Guelph,9,False,12660
"Department of Fisheries and Wildlife, Michigan State University",7,False,6590
"Department of Fisheries and Oceans, Canada, Sea Lamprey Control Centre",2,False,6598
"New York University School of Medicine Tuxedo, New York, UNITED STATES",1,False,12583
Earthquake Science Center,106,True,237
California State University East Bay,1,False,13318
Branch of Quality Systems,7,True,143
Idaho Water Science Center,36,True,343
"Department of Biology, University of New Mexico",8,False,7000
"Department of Geology and Geophysics, Unviersity of Utah",1,False,12566
UC Berkeley,4,False,6609
George Mason University,3,False,12909
Western Geographic Science Center,85,True,657
Utah Water Science Center,26,True,610
Oregon Water Science Center,71,True,518
Central Energy Resources Science Center,82,True,164
Columbia Environmental Research Center,79,True,192
Max Planck Institute for Ornithology,4,False,12472
"7United States Department of Agriculture, Animal and Plant Health Inspection Service, Wildlife Services, National Wildlife Disease Program, 4101 LaPorte Ave., Fort Collins, CO, United States of America.",3,False,16167
US Department of Agriculture,3,False,6622
Alaska Science Center Biology WTEB,80,True,117
